year,mm,dd,hh,min,ss.s,L,latit,longit,depth,err(km),mag,tm,CAT,Io,Area,ST,Localities,(source) comments
1560,,,18,,,L,,,  0.0,0, 0.0,-1,"D",,,"SP","SAO VICENTE","EFEITOS DE TEMPESTADE?"
1666,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"BA","SALVADOR","TSUNAMIS?"
1690,06,,,,,,-3.000,-60.000,  0.0,200, 7.0,3,"C",,2000.000000,"AM","Foz do Rio Negro","(Veloso 2013) EFEITOS DE FURACAO?"
1709,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"BA","Salvador",""
1720,11,23,,,,,-13.000,-38.500,  0.0,0, 0.0,-1,"C",,,"BA","SALVADOR",""
1721,03,20,,,,,,,  0.0,0, 0.0,-1,"D",,,"BA","Salvador",""
1721,05,06,,,,,,,  0.0,0, 0.0,-1,"D",,,"BA","Salvador",""
1724,01,04,07,30,,L,-13.000,-38.500,  0.0,0, 2.8,4,"C","3-4",,"BA","SALVADOR",""
1744,09,24,12,,,L,-15.300,-58.000,  0.0,0, 2.8,4,"C","3-4",,"MT","CUIABA","EFEITO DE SISMO ANDINO ?"
1746,10,28,20,30,,L,,,  0.0,0, 0.0,-1,"E",,,"MT","Peru","Terremoto em Lima-Peru"
1767,08,01,20,,,L,-20.310,-40.330,  0.0,0, 0.0,0,"R","5",,"ES","VITORIA","(Berrocal etal.1984) Epic. alto VIT-TRINDADE? Mesmo de 1769-08-01"
1769,08,01,20,,,L,-20.000,-37.000,  0.0,200, 6.0,0,"B","5",,"ES","Vitoria-ES Salvador-BA","(Veloso 2016; Pedro-II-Fortaleza-CE 1863-08-01)"
1769,08,01,21,30,,L,-13.000,-38.500,  0.0,0, 0.0,-1,"R",,,"BA","Salvador","(Berrocal et.1984)"
1784,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"SP","CANANEIA","FUMACA E LABAREDAS"
1785,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"AM","RIO PURUS","TERREMOTO AREQUIPA 1784 ?"
1789,05,09,,,,,-25.010,-47.940,  0.0,0, 3.7,4,"C","5-6",,"SP","CANANEIA","(SANTOS 1850)"
1798,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"AM","ALTO RIO NEGRO","DIV. BRAS-COLOMB-VENEZ."
1801,10,27,,,,,-8.080,-34.870,  0.0,50, 0.0,-1,"D",,,"PE","Pernambuco","(O Combate_BA 1927-10-27) provavel 1811"
1807,08,08,08,,,L,-5.700,-37.700,  0.0,100, 4.8,3,"B","6",230.000000,"RN","Assu","(Veloso 2012) Ano corrigido"
1808,08,08,08,,,L,-5.700,-37.700,  0.0,100, 4.8,3,"R","6",230.000000,"RN","Assu","(Berrocal et al.1984) Ano errado"
1808,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"PE","RECIFE",""
1810,04,19,,,,,-3.100,-40.840,  0.0,0, 0.0,-1,"C",,,"CE","GRANJA",""
1811,,,20,,,L,-30.040,-51.300,  0.0,0, 3.5,4,"C","5",,"RS","PORTO ALEGRE","EPIC. DUVIDOSO"
1811,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"ES","VITORIA",""
1811,10,28,19,30,,L,-8.080,-34.870,  0.0,50, 3.8,3,"C","5",0.600000,"PE","RECIFE","AREA IV APROX."
1815,06,,,,,,-12.760,-38.490,  0.0,0, 0.0,-1,"C",,,"BA","CABOTO",""
1817,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"SP","SAO PAULO",""
1822,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"RS","FOZ RIO JACUI",""
1824,01,04,07,30,,L,-13.000,-38.500,  0.0,0, 2.8,4,"R",,,"BA","Salvador","mesmo de 1724 (A_Ordem-Sobral 1919-05-02)"
1824,,,,,,,-7.590,-39.280,  0.0,0, 0.0,-1,"C",,,"CE","JARDIM","FRATURA DE 30 KM ??"
1824,,,,,,,-21.980,-44.880,  0.0,0, 3.2,4,"C","4-5",,"MG","CAXAMBU",""
1826,,,,,,,-11.710,-47.770,  0.0,0, 2.6,4,"C","3",,"GO","NATIVIDADE",""
1827,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"AM","RIO PURUS",""
1832,,,,,,,-20.820,-45.720,  0.0,0, 3.5,4,"C","5",,"MG","Guapeh","(Passos Maia: 'Guapé'; UnB: Furnas)"
1832,09,18,14,,,L,-12.400,-64.400,  0.0,0, 0.0,-1,"C",,,"RO","PR.DA BEIRA",""
1834,,,,,,,-11.710,-47.770,  0.0,0, 2.6,4,"C","3",,"GO","NATIVIDADE",""
1839,07,15,23,,,L,-21.840,-45.390,  0.0,0, 3.0,4,"C","4",,"MG","CAMPANHA",""
1840,,,,,,,-21.030,-44.750,  0.0,0, 3.0,4,"C","4",,"MG","BOM SUCESSO","VARIOS EVENTOS"
1840,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"AM","RIO PURUS",""
1842,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"MG","BOM SUCESSO",""
1845,04,19,23,,,L,-25.520,-48.510,  0.0,0, 0.0,-1,"C",,,"PR","PARANAGUA","(VIEIRA DOS SANTOS 1850)"
1845,10,19,16,,,L,-35.100,-59.800,  0.0,0, 3.5,4,"C","5",,"AR","Saladillo Buenos_Aires","(INPRES)"
1846,01,25,,,,,-3.100,-40.840,  0.0,0, 0.0,-1,"C",,,"CE","GRANJA","(A_Lucta-Sobral-CE 1922-09-07)"
1848,08,09,18,35,,L,-36.300,-54.800,  0.0,100, 5.0,3,"B","5-6",170.000000,"UR","Uruguay","(Benavidez 1998) epicentro estimado"
1848,08,15,08,22,,L,-36.300,-54.800,  0.0,100, 0.0,-1,"C",,,"UR","Uruguay","(Benavidez 1998) 4s"
1848,08,17,23,45,,L,-36.300,-54.800,  0.0,100, 0.0,-1,"C",,,"UR","Uruguay","(Benavidez 1998) 8s"
1848,08,18,00,20,,L,-36.300,-54.800,  0.0,100, 0.0,-1,"C",,,"UR","Uruguay","(Benavidez 1998) 2-3s"
1848,09,11,08,13,,L,-36.300,-54.800,  0.0,100, 0.0,-1,"C",,,"UR","Uruguay","(Benavidez 1998) 14-16s"
1851,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"RS","Uruguai?","EPI.FRENTE COSTA URUGUAI?"
1852,,,,,,,-3.100,-40.840,  0.0,0, 0.0,-1,"C",,,"CE","GRANJA",""
1852,12,02,13,30,,L,-4.560,-37.760,  0.0,0, 3.0,4,"C","4",,"CE","ARACATI","(Correio_Mercantil_RJ 1852-12-23; Folha_do_Norte-PA 1896-12-01)"
1854,01,10,07,,,L,-5.200,-35.460,  0.0,50, 3.7,4,"C","5-6",,"RN","TOUROS","sentido em Natal? (A_Constituição-PA 1883-01-10)"
1854,09,,02,,,L,-22.900,-43.800,  0.0,0, 0.0,-1,"R",,,"RJ","Itaguaí","(A_Provincia-ES 1886-06-09) Lorena-SP 1861-07-31"
1854,,,,,,,-3.100,-40.840,  0.0,0, 0.0,-1,"C",,,"CE","GRANJA","(A_Republica-CE 1893-05-10)"
1855,,,,,,,-3.100,-40.840,  0.0,0, 0.0,-1,"C",,,"CE","GRANJA","(Berrocal et al.1984)"
1855,07,25,06,,,L,-19.950,-43.480,  0.0,0, 3.5,4,"C","5",,"MG","S.J.B. Morro Grande","atual Barão DE COCAIS (O_Bom_Senso-Ouro_Preto 1855-08-16)"
1859,,,,,,,-19.160,-45.450,  0.0,0, 0.0,-1,"C",,,"MG","Abaeté; Dores Indaiá","ano incerto (Correio Mercantil 1862-10-23)"
1860,07,12,,,,,-0.860,-48.130,  0.0,0, 0.0,-1,"R",,,"PA","VIGIA","(Mello 1881; Berrocal etal.1984; A_Constituição 1883-07-12)"
1860,06,12,13,,,L,-0.860,-48.130,  0.0,0, 0.0,-1,"C",,,"PA","Vigia","(Diario_do_Rio-RJ 1860-08-11)"
1860,08,13,17,,,L,-15.700,-56.200,  0.0,100, 4.0,3,"B","4",8.000000,"MT","Cuiabá-Livramento","Rfelt=50km? Riv=25km? (Silva et al.2020)"
1860,09,,,,,,-15.600,-56.100,  0.0,0, 0.0,-1,"R",,,"MT","CUIABA","(Berrocal et al.1984)"
1860,10,01,,,,,-15.600,-56.100,  0.0,0, 0.0,-1,"R",,,"MT","CUIABA","(Berrocal et al.1984) correct date=1860-08-13"
1861,07,30,03,,,L,-22.200,-44.950,  0.0,0, 0.0,-1,"C",,,"MG","POUSO ALTO","provavel sismo de Lorena 1861-07-31"
1861,07,31,01,,,L,-22.600,-45.200,  0.0,50, 4.4,3,"R","5",52.000000,"SP","LORENA","Dados incompletos (Berrocal et al.1984)"
1861,07,31,01,,,L,-23.100,-45.750,  0.0,70, 5.0,3,"B","6",200.000000,"SP","Lorena","(Quadros et al.2019; IAG) Af=200000 Aiv=73000km2"
1862,09,19,19,30,,L,-19.160,-45.450,  0.0,20, 3.8,3,"C","5-6",8.000000,"MG","Abaeté; Dores Indaiá","antiga Sra Patrocinio Marmelada (Correio Mercantil 1862-10-23)"
1863,04,08,23,45,,L,-21.950,-45.500,  0.0,20, 3.9,3,"C","5",12.000000,"MG","Campanha","(Correio_Mercantil-RJ 1863-04-21 e 28)"
1863,05,28,10,30,,L,-25.510,-48.520,  0.0,0, 3.0,4,"C","4",,"PR","Paranaguá","(A_Actualidade-RJ 1863-06-11)"
1864,04,08,,,,,-32.500,-53.100,  0.0,0, 0.0,-1,"C",,,"RS","Jaguarão - Bretanhas","(Gazeta_Official-CE 1864-06-04)"
1864,11,23,11,30,,L,-2.530,-44.300,  0.0,0, 3.2,4,"R","4-5",,"MA","SAO LUIS","mesmo de 1864-11-26?"
1864,11,26,01,30,,L,-2.530,-44.300,  0.0,0, 3.2,4,"C","4-5",,"MA","São Luís","(Correio_Mercantil 1864-12-11)"
1864,12,27,03,,,L,-2.530,-44.300,  0.0,0, 0.0,-1,"R",,,"MA","SAO LUIS","mesmo de 1864-11-26? (mes errado em Branner-1912?)"
1865,07,05,18,,,L,-4.360,-39.310,  0.0,0, 3.8,3,"C","4",8.000000,"CE","Canindé Baturité Quix.","(Correio_Mercantil-RJ 1865-11-29)"
1865,09,03,,,,,-15.600,-56.100,  0.0,0, 0.0,-1,"R","5",,"MT","CUIABA","1860-08-13 (Berrocal et al.1984; Mondello 1933) correct=1860-08-13"
1866,07,,,,,,,,  0.0,0, 0.0,-1,"D",,,"RJ","RIO DE JANEIRO","(Berrocal etal.1984)"
1867,,,,,,,-30.100,-51.200,  0.0,0, 0.0,-1,"C",,,"RS","PORTO ALEGRE",""
1867,08,,,,,,-20.010,-47.400,  0.0,0, 0.0,-1,"C",,,"MG","JAGUARA","VARIOS EVENTOS"
1867,12,05,,,,,+0.000,+0.000,  0.0,0, 0.0,3,"D",,,"AC","Jurimaguas Purus","(Correio_Paulistano 1868-11-14) 500 leguas!?"
1868,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"MG","PASSA QUATRO",""
1868,01,09,06,,,L,-15.600,-42.500,  0.0,0, 3.0,4,"C","4",,"MG","Rio Pardo","(Diário_de_Minas Ouro_Preto-MG 1868-03-24)"
1869,10,06,03,45,,L,-34.600,-58.400,  0.0,0, 3.8,4,"C","6",,"AR","Buenos Aires","(J. do Pará 1869-11-03: Nación Argentina)"
1871,04,05,01,30,,L,-3.400,-44.350,  0.0,0, 3.7,4,"C","5-6",,"MA","ITAPECURU-M.",""
1871,06,11,10,05,,L,-2.530,-44.300,  0.0,0, 0.0,-1,"R",,,"MA","São Luis","(Correio Paulistano-SP 1871-08-10) mesmo de 1871-06-14?"
1871,06,14,,,,,-2.530,-44.300,  0.0,0, 0.0,-1,"C",,,"MA","SAO LUIS","(Berrocal etal.1984)"
1872,02,04,07,,,L,-22.700,-44.300,  0.0,0, 0.0,-1,"C",,,"SP","Bananal","(Correio Paulistano 1872-02-24)"
1872,11,11,23,,,L,-18.600,-43.390,  0.0,0, 0.0,-1,"C",,,"MG","SERRO","ENCHENTE E DESABAMENTO"
1874,10,30,09,25,,L,-23.450,-47.400,  0.0,20, 3.6,3,"B","5",3.700000,"SP","Sorocaba S.Roque Itu","(Correio Paulistano 1874-11-04)   ** Af **"
1875,01,17,15,,,L,-1.000,-62.900,  0.0,0, 0.0,-1,"C",,,"AM","Barcelos","(J._do_Commercio-RJ 1910-01-17)"
1876,04,08,04,52,,L,-34.300,-58.300,  0.0,0, 3.5,4,"C","5",,"AR","Rio_la_Plata B.Aires","(INPRES)"
1876,05,01,,,,,,,  0.0,0, 0.0,-1,"D",,,"RJ","RIO DE JANEIRO",""
1876,06,04,04,30,,L,-22.210,-45.260,  0.0,0, 0.0,-1,"C",,,"MG","Cristina","(Diario_S.Paulo 1876-07-02)"
1876,06,05,22,,,L,-22.210,-45.260,  0.0,0, 0.0,-1,"C",,,"MG","Cristina","(Diario_S.Paulo 1876-07-02)"
1876,06,09,04,30,,L,,,  0.0,0, 0.0,-1,"D",,,"MG","OURO PRETO",""
1876,06,10,,,,,,,  0.0,0, 0.0,-1,"D",,,"MG","OURO PRETO",""
1876,06,26,21,30,,L,-16.570,-57.820,  0.0,0, 3.0,4,"C","4",,"MT","CAMBARA",""
1877,11,26,17,05,,L,-4.230,-69.940,  0.0,0, 0.0,-1,"E","2",,"AM","Tabatinga","(O_Monitor-BA 1878-01-13) terremoto do Peru"
1879,03,,,,,,,,  0.0,0, 0.0,-1,"D",,,"SP","MO. PANTAJO",""
1879,03,01,,,,,-15.600,-56.100,  0.0,0, 3.5,4,"C","5",,"MT","CUIABA",""
1879,03,22,,,,,,,  0.0,0, 0.0,-1,"D",,,"SP","CAMPINAS",""
1879,03,23,02,,,L,,,  0.0,0, 0.0,-1,"D",,,"SP","CAMPINAS",""
1879,07,24,17,25,,L,-6.000,-35.500,  0.0,50, 4.3,3,"B","5",30.000000,"RN","NATAL","(O_Liberal_Parahybano 1879-08-02) Sentido forte em Areia-PB"
1879,10,09,21,30,,L,-19.590,-46.940,  0.0,0, 3.4,3,"C","4",3.000000,"MG","Araxá","(Diario_Maranhao 1879-11-04) 'seis leguas em redor'"
1879,10,14,07,,,L,-1.460,-61.640,  0.0,0, 3.5,4,"C","5",,"AM","Moura","(Revista Amazonica 1883_ed3)"
1881,02,17,09,,,L,-4.080,-63.140,  0.0,0, 3.2,4,"C","4",,"AM","Coari","(O_Monitor-BA 1881-03-22)"
1881,06,20,21,,,L,-22.470,-44.440,  0.0,0, 0.0,-1,"C",,,"RJ","Resende","(A_Pacotilha-MA 1881-07-14)"
1882,05,01,23,,,L,-3.400,-44.350,  0.0,0, 3.2,4,"C","4",,"MA","Itapecuru-mirim","(Diario_do_Maranhao 1882-05-08)"
1882,05,13,23,,,L,-2.530,-44.300,  0.0,0, 0.0,-1,"C",,,"MA","São Luis","(Diario_do_Maranhao 1882-05-15; A_Pacotilha-MA 1930-05-15)"
1882,10,21,04,44,,L,-21.790,-46.580,  0.0,0, 3.0,4,"C","4",,"MG","Poços de Caldas","(Correio Paulistano 1882-10-28: J. Commercio)"
1883,02,21,,,,,-21.860,-42.670,  0.0,0, 2.6,4,"R","3",,"MG","A. PARAIBA","(Berrocal etal.1984: Senna 1906)"
1883,02,23,00,30,,L,-21.860,-42.670,  0.0,0, 3.0,4,"C","4",,"MG","Além Paraiba","(O_Liberal_PA 1883-03-28: Correio de S. José)"
1883,03,17,20,30,,L,-27.820,-54.670,  0.0,0, 3.5,3,"C","5-6",3.000000,"RS","Santo Cristo","'sentido a 6 leguas' (Correio_Paulistano 1883-06-06)"
1883,08,27,17,,,L,-2.010,-54.100,  0.0,0, 0.0,-1,"C",,,"PA","MONTE_ALEGRE","VARIOS TREMORES (Berrocal etal.1984)"
1883,10,07,11,,,L,-25.510,-48.520,  0.0,0, 0.0,-1,"C",,,"PR","Paranaguá","(Correio Paulistano 1883-10-28: jornal Itiberé - Paranaguá)"
1883,,,,,,,-3.130,-60.020,  0.0,0, 0.0,-1,"C",,,"AM","Manaus","(Gutenberg-AL 1883-0223: J. do Amazonas)"
1884,05,26,22,30,,L,-2.000,-54.070,  0.0,0, 3.5,4,"C","5",,"PA","Monte Alegre","(O_Liberal-PA 1884-06-07)"
1884,07,05,04,20,,L,-22.230,-45.940,  0.0,0, 3.2,4,"C","4-5",,"MG","Pouso Alegre","população despertou alarmada (J. Commercio-RJ 1884-07-10)"
1885,01,27,,,,,-1.460,-61.640,  0.0,0, 0.0,-1,"C",,,"AM","Moura","(Diario de Noticias-PA 1885-02-24)"
1885,01,29,17,30,,L,-3.130,-60.020,  0.0,0, 0.0,-1,"C",,,"AM","Manaus","(Diario de Noticias-PA 1885-02-05: J. do Amazonas)"
1885,02,18,13,,,L,-4.830,-42.170,  0.0,0, 0.0,-1,"C",,,"PI","Campo_Maior União","(Correio Paulistano 1885-04-28; A_Pacotilha-MA 1885-06-06)"
1885,07,25,,,,,-22.700,-47.600,  0.0,0, 0.0,-1,"C",,,"SP","Piracicaba Mato_Dentro","(Correio_Mercantil-SP 1885-08-27)"
1885,08,04,06,30,,L,+3.400,-52.900,  0.0,100, 6.9,3,"A","6",3500.000000,"GY","French_Guyana-Amapá","Felt Georgetown to Belém (Assumpção & Veloso 2020)"
1886,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"RN","LAJES",""
1886,05,09,15,15,,L,-22.660,-43.690,  0.0,20, 4.3,3,"A","5",23.000000,"RJ","S.PEDRO-S.P.","AREA IV = 4700 km2"
1886,07,25,,,,,,,  0.0,0, 0.0,-1,"D",,,"MG","SERRO",""
1887,05,04,17,,,L,-15.940,-50.140,  0.0,0, 0.0,-1,"C",,,"GO","Goiás_Velho","(Pharol-JuizDeFora 1887-05-31; Silva etal.2020)"
1887,08,27,08,20,,L,-25.490,-48.600,  0.0,15, 3.3,3,"C",,1.500000,"PR","Paranaguá Antonina","(A_Provincia-ES 1887-09-01) sentido Fort. da Barra"
1888,05,,04,30,,L,-4.190,-38.700,  0.0,0, 3.0,4,"C","4",,"CE","ACARAPE",""
1888,06,05,00,20,,L,-34.500,-58.000,  0.0,80, 5.0,3,"A","5",245.000000,"AR","B.Aires;Colonia(UR)","(Benavidez 1998) INPRES=03:19UT"
1888,06,05,03,12,,L,-34.500,-58.000,  0.0,80, 0.0,-1,"C",,,"AR","B.Aires;Colonia(UR)","(Sanchez etal.2012)"
1888,06,05,03,30,,L,-34.500,-58.000,  0.0,80, 0.0,-1,"C",,,"AR","B.Aires;Colonia(UR)","(Sanchez etal.2012)"
1888,06,05,05,10,,L,-34.500,-58.000,  0.0,80, 0.0,-1,"C",,,"AR","B.Aires;Colonia(UR)","(Sanchez etal.2012)"
