year,mm,dd,hh,min,ss.s,L,latit,longit,depth,err(km),mag,tm,CAT,Io,Area,ST,Localities,(source) comments
1724,01,04,07,30,,L,-13.000,-38.500,  0.0,0, 2.8,4,"C","3-4",,"BA","SALVADOR",""
1744,09,24,12,,,L,-15.300,-58.000,  0.0,0, 2.8,4,"C","3-4",,"MT","CUIABA","EFEITO DE SISMO ANDINO ?"
1789,05,09,,,,,-25.010,-47.940,  0.0,0, 3.7,4,"C","5-6",,"SP","CANANEIA","(SANTOS 1850)"
1807,08,08,08,,,L,-5.700,-37.700,  0.0,100, 4.8,3,"B","6",230.000000,"RN","Assu","(Veloso 2012) Ano corrigido"
1811,,,20,,,L,-30.040,-51.300,  0.0,0, 3.5,4,"C","5",,"RS","PORTO ALEGRE","EPIC. DUVIDOSO"
1811,10,28,19,30,,L,-8.080,-34.870,  0.0,50, 3.8,3,"C","5",0.600000,"PE","RECIFE","AREA IV APROX."
1824,,,,,,,-21.980,-44.880,  0.0,0, 3.2,4,"C","4-5",,"MG","CAXAMBU",""
1826,,,,,,,-11.710,-47.770,  0.0,0, 2.6,4,"C","3",,"GO","NATIVIDADE",""
1832,,,,,,,-20.820,-45.720,  0.0,0, 3.5,4,"C","5",,"MG","Guapeh","(Passos Maia: 'Guapé'; UnB: Furnas)"
1834,,,,,,,-11.710,-47.770,  0.0,0, 2.6,4,"C","3",,"GO","NATIVIDADE",""
1839,07,15,23,,,L,-21.840,-45.390,  0.0,0, 3.0,4,"C","4",,"MG","CAMPANHA",""
1840,,,,,,,-21.030,-44.750,  0.0,0, 3.0,4,"C","4",,"MG","BOM SUCESSO","VARIOS EVENTOS"
1845,10,19,16,,,L,-35.100,-59.800,  0.0,0, 3.5,4,"C","5",,"AR","Saladillo Buenos_Aires","(INPRES)"
1848,08,09,18,35,,L,-36.300,-54.800,  0.0,100, 5.0,3,"B","5-6",170.000000,"UR","Uruguay","(Benavidez 1998) epicentro estimado"
1852,12,02,13,30,,L,-4.560,-37.760,  0.0,0, 3.0,4,"C","4",,"CE","ARACATI","(Correio_Mercantil_RJ 1852-12-23; Folha_do_Norte-PA 1896-12-01)"
1854,01,10,07,,,L,-5.200,-35.460,  0.0,50, 3.7,4,"C","5-6",,"RN","TOUROS","sentido em Natal? (A_Constituição-PA 1883-01-10)"
1855,07,25,06,,,L,-19.950,-43.480,  0.0,0, 3.5,4,"C","5",,"MG","S.J.B. Morro Grande","atual Barão DE COCAIS (O_Bom_Senso-Ouro_Preto 1855-08-16)"
1860,08,13,17,,,L,-15.700,-56.200,  0.0,100, 4.0,3,"B","4",8.000000,"MT","Cuiabá-Livramento","Rfelt=50km? Riv=25km? (Silva et al.2020)"
1861,07,31,01,,,L,-23.100,-45.750,  0.0,70, 5.0,3,"B","6",200.000000,"SP","Lorena","(Quadros et al.2019; IAG) Af=200000 Aiv=73000km2"
1862,09,19,19,30,,L,-19.160,-45.450,  0.0,20, 3.8,3,"C","5-6",8.000000,"MG","Abaeté; Dores Indaiá","antiga Sra Patrocinio Marmelada (Correio Mercantil 1862-10-23)"
1863,04,08,23,45,,L,-21.950,-45.500,  0.0,20, 3.9,3,"C","5",12.000000,"MG","Campanha","(Correio_Mercantil-RJ 1863-04-21 e 28)"
1863,05,28,10,30,,L,-25.510,-48.520,  0.0,0, 3.0,4,"C","4",,"PR","Paranaguá","(A_Actualidade-RJ 1863-06-11)"
1864,11,26,01,30,,L,-2.530,-44.300,  0.0,0, 3.2,4,"C","4-5",,"MA","São Luís","(Correio_Mercantil 1864-12-11)"
1865,07,05,18,,,L,-4.360,-39.310,  0.0,0, 3.8,3,"C","4",8.000000,"CE","Canindé Baturité Quix.","(Correio_Mercantil-RJ 1865-11-29)"
1868,01,09,06,,,L,-15.600,-42.500,  0.0,0, 3.0,4,"C","4",,"MG","Rio Pardo","(Diário_de_Minas Ouro_Preto-MG 1868-03-24)"
1869,10,06,03,45,,L,-34.600,-58.400,  0.0,0, 3.8,4,"C","6",,"AR","Buenos Aires","(J. do Pará 1869-11-03: Nación Argentina)"
1871,04,05,01,30,,L,-3.400,-44.350,  0.0,0, 3.7,4,"C","5-6",,"MA","ITAPECURU-M.",""
